ecotype_size,npop,omega,sigma,likelihood
5,3,0.00071,0.17977,0.13040
5,3,0.00116,0.12156,0.11490
5,3,0.00190,0.14127,0.12870
5,3,0.00062,0.14222,0.10910
5,3,0.00064,0.10022,0.00010000
5,3,0.00210,0.17283,0.095300
5,3,0.00090,0.14500,0.12890
1,2,0.00225,0.15852,0.023500
5,3,0.00099,0.15653,0.12810
9,5,0.00043,0.15822,0.20750
5,3,0.00104,0.15040,0.13310
5,3,0.00087,0.15177,0.13780
5,3,0.00206,0.12397,0.12670
5,3,0.00043,0.14032,0.13090
5,3,0.00129,0.17069,0.10420
5,3,0.00284,0.14646,0.10610
5,3,0.00270,0.16277,0.13250
5,3,0.00113,0.11998,0.12220
5,3,0.00102,0.15013,0.10230
5,3,0.00106,0.16099,0.13410
5,3,0.00030,0.13180,0.11660
5,3,0.00113,0.12552,0.11590
5,3,0.00218,0.16041,0.12910
5,3,0.00135,0.12932,0.12540
5,3,0.00129,0.15777,0.11670
5,3,0.00167,0.19873,0.12660
5,3,0.00062,0.19324,0.10360
5,3,0.00122,0.13617,0.11120
5,3,0.00205,0.17270,0.091400
5,3,0.00092,0.16322,0.11740
5,3,0.00100,0.17550,0.13720
5,3,0.00184,0.20020,0.12380
5,3,0.00079,0.18748,0.12320
5,3,0.00031,0.10455,0.12500
5,3,0.00099,0.14821,0.11050
6,4,0.00000,0.09300,0.20610
5,3,0.00061,0.12273,0.11480
5,3,0.00132,0.14948,0.11130
5,3,0.00059,0.14848,0.11290
5,3,0.00055,0.09568,0.13320
5,3,0.00038,0.11800,0.11400
5,3,0.00182,0.15796,0.12450
5,3,0.00147,0.15717,0.13280
5,3,0.00146,0.20251,0.11950
5,3,0.00132,0.16403,0.12070
5,3,0.00107,0.10527,0.12200
5,3,0.00273,0.25532,0.11080
5,3,0.00199,0.17564,0.096900
5,3,0.00138,0.20757,0.10710
9,5,0.00000,0.16305,0.48690
5,3,0.00103,0.15868,0.12940
5,3,0.00149,0.17108,0.096000
5,3,0.00184,0.16976,0.095200
6,4,0.00043,0.16699,0.17120
5,3,0.00190,0.23986,0.10760
5,3,0.00111,0.16645,0.12020
1,2,0.00324,0.20876,0.026600
5,3,0.00173,0.15774,0.11990
5,3,0.00033,0.08320,0.13280
5,3,0.00191,0.14271,0.13450
5,3,0.00076,0.15183,0.12720
5,3,0.00031,0.13640,0.13230
5,3,0.00129,0.17761,0.12850
5,3,0.00134,0.20409,0.10440
1,2,0.00298,0.19672,0.027200
5,3,0.00101,0.09734,0.11650
5,3,0.00141,0.18902,0.10450
5,3,0.00032,0.09577,0.13390
5,3,0.00130,0.18815,0.12200
5,3,0.00081,0.14602,0.10480
5,3,0.00112,0.17822,0.092600
5,3,0.00037,0.14031,0.11560
5,3,0.00017,0.14350,0.14020
5,3,0.00117,0.16468,0.13330
5,3,0.00089,0.19364,0.10340
5,3,0.00218,0.17197,0.13050
5,3,0.00039,0.16299,0.12530
5,3,0.00049,0.17822,0.14000
5,3,0.00122,0.23330,0.10600
5,3,0.00186,0.14442,0.11950
5,3,0.00383,0.18912,0.094800
5,3,0.00203,0.15897,0.13930
5,3,0.00056,0.15986,0.12460
5,3,0.00045,0.10261,0.11990
5,3,0.00066,0.19801,0.10330
5,3,0.00126,0.12007,0.13090
5,3,0.00084,0.21116,0.10660
5,3,0.00041,0.11058,0.14550
5,3,0.00057,0.16539,0.12030
5,3,0.00147,0.14656,0.11330
5,3,0.00025,0.08308,0.13660
5,3,0.00020,0.12255,0.12090
5,3,0.00237,0.17515,0.096900
5,3,0.00175,0.16649,0.11250
5,3,0.00053,0.15860,0.12450
5,3,0.00029,0.11880,0.14100
5,3,0.00068,0.12222,0.12270
5,3,0.00089,0.16970,0.11470
5,3,0.00324,0.24250,0.11140
5,3,0.00054,0.11079,0.12980
5,3,0.00056,0.17104,0.11420
5,3,0.00038,0.17862,0.12530
5,3,0.00103,0.19383,0.11040
5,3,0.00073,0.20983,0.12670
5,3,0.00077,0.13626,0.14130
1,2,0.00387,0.24819,0.024700
1,2,0.00360,0.22597,0.031600
1,2,0.00269,0.17800,0.035000
5,3,0.00072,0.16787,0.11460
5,3,0.00087,0.19925,0.12380
5,3,0.00117,0.03360,0.00020000
5,3,0.00182,0.12517,0.11160
5,3,0.00036,0.11004,0.12860
5,3,0.00278,0.22436,0.11010
5,3,0.00062,0.12534,0.11980
5,3,0.00088,0.14568,0.11500
1,2,0.00241,0.16014,0.028100
5,3,0.00046,0.17712,0.11580
6,4,0.00116,0.17873,0.16380
5,3,0.00069,0.17833,0.11330
5,3,0.00088,0.09099,0.00010000
5,3,0.00114,0.21661,0.10760
5,3,0.00238,0.17899,0.11940
5,3,0.00054,0.16359,0.12390
5,3,0.00045,0.17141,0.13440
5,3,0.00235,0.19674,0.10230
5,3,0.00105,0.17562,0.10040
5,3,0.00038,0.10926,0.12670
1,2,0.00286,0.17891,0.025500
5,3,0.00171,0.13960,0.13110
5,3,0.00078,0.18114,0.12310
5,3,0.00196,0.18220,0.099700
5,3,0.00158,0.18992,0.12870
5,3,0.00062,0.10379,0.00010000
5,3,0.00122,0.17042,0.12180
1,2,0.00222,0.15193,0.032500
5,3,0.00171,0.07885,0.00010000
5,3,0.00335,0.20364,0.11000
5,3,0.00167,0.18267,0.10020
5,3,0.00076,0.11444,0.11630
5,3,0.00068,0.17894,0.10110
5,3,0.00117,0.16445,0.11920
5,3,0.00305,0.19104,0.12670
5,3,0.00064,0.08288,0.14210
5,3,0.00078,0.15190,0.12770
5,3,0.00207,0.14651,0.12480
5,3,0.00175,0.15382,0.11080
5,3,0.00059,0.14077,0.10650
5,3,0.00154,0.19547,0.10700
5,3,0.00314,0.22578,0.10960
5,3,0.00049,0.14316,0.10900
5,3,0.00262,0.20013,0.12780
5,3,0.00250,0.25887,0.11600
5,3,0.00102,0.17244,0.12500
5,3,0.00040,0.13194,0.11080
5,3,0.00099,0.13975,0.13720
5,3,0.00270,0.19020,0.12190
5,3,0.00035,0.12129,0.13600
5,3,0.00229,0.17885,0.091500
5,3,0.00075,0.12463,0.12760
5,3,0.00149,0.16475,0.12100
5,3,0.00142,0.12613,0.10770
9,5,0.00046,0.14761,0.28970
1,2,0.00280,0.18493,0.030400
5,3,0.00024,0.12991,0.13410
5,3,0.00115,0.13788,0.13290
5,3,0.00113,0.16059,0.12440
5,3,0.00094,0.23005,0.10380
1,2,0.00288,0.18059,0.020700
5,3,0.00092,0.12698,0.11730
1,2,0.00226,0.16530,0.035900
5,3,0.00114,0.08742,0.11970
5,3,0.00070,0.14527,0.14040
5,3,0.00269,0.21679,0.10260
5,3,0.00238,0.17160,0.11220
5,3,0.00165,0.19685,0.13380
5,3,0.00099,0.17750,0.12680
5,3,0.00029,0.17105,0.14040
5,3,0.00053,0.16753,0.13210
5,3,0.00052,0.16881,0.11590
5,3,0.00015,0.12579,0.12830
5,3,0.00163,0.17546,0.095600
5,3,0.00514,0.08891,0.00010000
5,3,0.00144,0.16098,0.10650
5,3,0.00138,0.16085,0.11310
5,3,0.00128,0.16176,0.13750
5,3,0.00078,0.15872,0.10120
5,3,0.00131,0.11853,0.13580
5,3,0.00142,0.17152,0.12010
5,3,0.00231,0.21013,0.10680
5,3,0.00296,0.24466,0.10820
5,3,0.00072,0.14797,0.11820
5,3,0.00191,0.14451,0.12510
5,3,0.00317,0.21618,0.11300
1,2,0.00117,0.13842,0.033600
5,3,0.00054,0.17681,0.12790
5,3,0.00081,0.13287,0.12840
5,3,0.00163,0.18634,0.11300
5,3,0.00026,0.11111,0.12410
5,3,0.00045,0.13988,0.12980
1,2,0.00094,0.17967,0.034900
5,3,0.00124,0.19309,0.10730
5,3,0.00114,0.15635,0.11890
1,2,0.00234,0.17340,0.027400
5,3,0.00045,0.13306,0.13440
5,3,0.00043,0.13052,0.11870
5,3,0.00053,0.09887,0.12610
5,3,0.00142,0.15500,0.12200
5,3,0.00060,0.13798,0.12760
5,3,0.00169,0.14765,0.10810
1,2,0.00221,0.15322,0.026200
5,3,0.00067,0.15311,0.10540
5,3,0.00228,0.17716,0.096800
5,3,0.00041,0.13631,0.10270
1,2,0.01286,0.33021,0.024600
5,3,0.00114,0.09987,0.11820
6,4,0.00700,0.06437,0.17910
5,3,0.00199,0.17033,0.12080
5,3,0.00100,0.18073,0.13210
5,3,0.00194,0.13058,0.12850
5,3,0.00291,0.12255,0.11210
1,2,0.00160,0.22549,0.027200
5,3,0.00046,0.15136,0.10660
5,3,0.00146,0.15103,0.13410
5,3,0.00048,0.10697,0.14040
5,3,0.00262,0.13471,0.12320
5,3,0.00031,0.09145,0.12720
5,3,0.00030,0.10306,0.11920
1,2,0.00105,0.19048,0.030200
5,3,0.00111,0.11535,0.11510
5,3,0.00186,0.21471,0.10060
5,3,0.00188,0.14965,0.098900
5,3,0.00266,0.19941,0.10410
5,3,0.00153,0.11215,0.12930
5,3,0.00066,0.14188,0.12510
5,3,0.00023,0.11435,0.12440
5,3,0.00077,0.17603,0.098300
5,3,0.00192,0.15142,0.10040
5,3,0.00153,0.12873,0.11640
1,2,0.00206,0.13395,0.032100
5,3,0.00074,0.20955,0.10370
5,3,0.00035,0.10547,0.12800
5,3,0.00234,0.23949,0.10520
5,3,0.00085,0.09754,0.11960
5,3,0.00242,0.20009,0.12040
1,2,0.00246,0.15977,0.031700
5,3,0.00100,0.11954,0.13000
5,3,0.00184,0.15034,0.10230
5,3,0.00085,0.14149,0.11210
5,3,0.00046,0.17348,0.11850
5,3,0.00222,0.15858,0.12210
5,3,0.00181,0.17716,0.12160
5,3,0.00069,0.20422,0.10500
9,5,0.00000,0.07724,0.037700
5,3,0.00438,0.18033,0.11440
5,3,0.00147,0.13448,0.12930
5,3,0.00116,0.18184,0.11970
5,3,0.00039,0.14743,0.12580
5,3,0.00196,0.18054,0.11890
1,2,0.00151,0.16572,0.037300
5,3,0.00286,0.20596,0.093600
5,3,0.00226,0.16975,0.11300
5,3,0.00079,0.13397,0.11780
5,3,0.00064,0.15334,0.13200
5,3,0.00172,0.14894,0.13160
1,2,0.00166,0.21697,0.035700
1,2,0.00391,0.25115,0.026600
5,3,0.00077,0.18526,0.13630
5,3,0.00137,0.16163,0.14080
5,3,0.00034,0.11047,0.12600
