ecotype_size,npop,omega,gene_numebr
5,3,0.00937,1
6,4,0.00136,1
6,4,0.00064,1
9,5,0.00002,1
9,5,0.00004,1
9,5,0.00118,1
9,5,0.00085,1
6,4,0.00152,1
5,3,0.00443,1
9,5,0.00008,1
9,5,0.00007,1
6,4,0.00126,1
9,5,0.00212,1
5,3,0.00026,1
5,3,0.00405,1
5,3,0.00563,1
9,5,0.00106,1
6,4,0.00001,1
6,4,0.00093,1
9,5,0.00004,1
6,4,0.00047,1
6,4,0.00040,1
6,4,0.00057,1
6,4,0.00108,1
9,5,0.00006,1
5,3,0.00037,1
9,5,0.00030,1
9,5,0.00014,1
5,3,0.00302,1
6,4,0.00024,1
5,3,0.01273,1
5,3,0.00132,1
5,3,0.00194,1
12,6,0.00001,1
5,3,0.00198,1
9,5,0.00173,1
6,4,0.00033,1
1,2,0.00313,1
5,3,0.00569,1
9,5,0.00002,1
5,3,0.00232,1
6,4,0.00010,1
6,4,0.00051,1
9,5,0.00006,1
5,3,0.00434,1
6,4,0.00090,1
5,3,0.00194,1
9,5,0.00010,1
9,5,0.00028,1
9,5,0.00083,1
9,5,0.00038,1
5,3,0.00752,1
9,5,0.00056,1
6,4,0.01784,1
9,5,0.02239,1
5,3,0.00753,1
5,3,0.01011,1
6,4,0.00417,1
5,3,0.00527,1
9,5,0.00019,1
5,3,0.00171,1
9,5,0.00075,1
6,4,0.00051,1
5,3,0.00605,1
9,5,0.00006,1
9,5,0.00010,1
9,5,0.00013,1
9,5,0.00012,1
9,5,0.00015,1
9,5,0.00206,1
9,5,0.02676,1
9,5,0.00008,1
9,5,0.00890,1
9,5,0.00981,1
9,5,0.00053,1
6,4,0.00067,1
6,4,0.00099,1
6,4,0.00177,1
5,3,0.00106,1
9,5,0.00026,1
12,6,0.00003,1
9,5,0.00013,1
6,4,0.00087,1
9,5,0.00023,1
9,5,0.00008,1
9,5,0.00084,1
9,5,0.00003,1
5,3,0.00104,1
5,3,0.00317,1
9,5,0.00062,1
6,4,0.00061,1
5,3,0.00556,1
1,2,0.00508,1
6,4,0.00160,1
9,5,0.00049,1
9,5,0.00013,1
9,5,0.00319,1
6,4,0.00005,1
9,5,0.00028,1
6,4,0.00036,1
6,4,0.00019,1
9,5,0.00000,1
6,4,0.00961,1
9,5,0.00251,1
5,3,0.00258,1
5,3,0.00206,1
5,3,0.00333,1
9,5,0.00000,1
9,5,0.00013,1
5,3,0.00311,1
6,4,0.00032,1
9,5,0.00239,1
9,5,0.00015,1
5,3,0.00083,1
5,3,0.00097,1
6,4,0.00121,1
6,4,0.00122,1
12,6,0.00004,1
6,4,0.00026,1
9,5,0.00006,1
5,3,0.00230,1
5,3,0.00182,1
5,3,0.01571,1
5,3,0.00186,1
5,3,0.00096,1
9,5,0.00003,1
9,5,0.00081,1
5,3,0.00160,1
6,4,0.00062,1
5,3,0.00521,1
5,3,0.00070,1
5,3,0.00791,1
9,5,0.00014,1
5,3,0.00089,1
5,3,0.00233,1
6,4,0.00133,1
9,5,0.00139,1
9,5,0.01129,1
5,3,0.22575,1
5,3,0.00498,1
6,4,0.00048,1
9,5,0.00061,1
5,3,0.00680,1
6,4,0.00057,1
12,6,0.00014,1
9,5,0.00014,1
